movie_name,movie_date,movie_rating,movie_genre,movie_censor
K.G.F: Chapter 1,1970,8.2,Action,UA
Dag II,1970,8.2,Action,Not Rated
Baahubali 2: The Conclusion,1970,8.2,Action,UA
Gangs of Wasseypur,1970,8.2,Action,A
Paan Singh Tomar,1970,8.2,Action,UA
Kimetsu no Yaiba: Mugen Ressha-Hen,1970,8.2,Animation,UA
Yôjinbô,1970,8.2,Action,U
Everything Everywhere All at Once,1970,8.1,Action,A
Bajrangi Bhaijaan,1970,8.1,Action,UA
A Wednesday,1970,8.1,Action,UA
Hera Pheri,1970,8.1,Action,U
Sarfarosh,1970,8.1,Action,A
Sholay,1970,8.1,Action,U
Kakushi-toride no san-akunin,1970,8.1,Action,Not Rated
White Heat,1970,8.1,Action,Not Rated
RRR (Rise Roar Revolt),1970,8.0,Action,UA
Arjun Reddy,1970,8.0,Action,A
Kaththi,1970,8.0,Action,U
Haider,1970,8.0,Action,UA
Bãhubali: The Beginning,1970,8.0,Action,UA
1 - Nenokkadine,1970,8.0,Action,UA
Thuppakki,1970,8.0,Action,U
Guardians of the Galaxy,1970,8.0,Action,UA
Blade Runner 2049,1970,8.0,Action,UA
The Revenant,1970,8.0,Action,A
Tropa de Elite 2: O Inimigo Agora é Outro,1970,8.0,Action,Not Rated
Deadpool,1970,8.0,Action,R
Karthikeya 2,1970,8.0,Action,UA
Zack Snyder's Justice League,1970,8.0,Action,18
Ip Man,1970,8.0,Action,R
Nefes: Vatan Sagolsun,1970,8.0,Action,Not Rated
Dune: Part One,1970,8.0,Action,UA
Tropa de Elite,1970,8.0,Action,R
The Avengers,1970,8.0,Action,UA
The Bourne Ultimatum,1970,8.0,Action,UA
Taegukgi hwinalrimyeo,1970,8.0,Action,R
Casino Royale,1970,8.0,Action,UA
Kill Bill: Vol. 2,1970,8.0,Action,A
Mou gaan dou,1970,8.0,Action,UA
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1970,8.0,Animation,Not Rated
Andaz Apna Apna,1970,8.0,Action,U
Akira,1970,8.0,Animation,UA
Sanjuro,1970,8.0,Action,U
Minnal Murali,1970,7.9,Action,UA 16+
Airlift,1970,7.9,Action,UA
Baby,1970,7.9,Action,UA
Thor: Ragnarok,1970,7.9,Action,UA
Serbuan maut 2: Berandal,1970,7.9,Action,A
Vishwaroopam,1970,7.9,Action,UA
X-Men: Days of Future Past,1970,7.9,Action,UA
The Batman,1970,7.9,Action,UA
Edge of Tomorrow,1970,7.9,Action,UA
District 9,1970,7.9,Action,A
Star Trek,1970,7.9,Action,UA
Letters from Iwo Jima,1970,7.9,Action,UA
Iron Man,1970,7.9,Action,UA
Ying xiong,1970,7.9,Action,UA
The Bourne Identity,1970,7.9,Action,UA
Children of Men,1970,7.9,Action,A
Wo hu cang long,1970,7.9,Action,UA
Knockin' on Heaven's Door,1970,7.9,Action,Not Rated
Kôkaku Kidôtai,1970,7.9,Animation,UA
The Blues Brothers,1970,7.9,Action,U
The Wild Bunch,1970,7.9,Action,A
Per un pugno di dollari,1970,7.9,Action,A
The Adventures of Robin Hood,1970,7.9,Action,PG
The Gentlemen,1970,7.8,Action,A
Doragon bôru chô: Burorî,1970,7.8,Animation,UA
Dunkirk,1970,7.8,Action,UA
Rogue One,1970,7.8,Action,UA
Captain America: Civil War,1970,7.8,Action,UA
Star Wars: Episode VII - The Force Awakens,1970,7.8,Action,U
Big Hero 6,1970,7.8,Animation,U
Captain America: The Winter Soldier,1970,7.8,Action,UA
How to Train Your Dragon 2,1970,7.8,Animation,U
Ang-ma-reul bo-at-da,1970,7.8,Action,Not Rated
Captain Phillips,1970,7.8,Action,UA
Thirteen Lives,1970,7.8,Action,UA 16+
Chugyeokja,1970,7.8,Action,Not Rated
Skyfall,1970,7.8,Action,UA
The Fighter,1970,7.8,Action,UA
Taken,1970,7.8,Action,A
Drive,1970,7.8,Action,A
Avatar,1970,7.8,Action,UA
Apocalypto,1970,7.8,Action,A
Hot Fuzz,1970,7.8,Action,A
Serenity,1970,7.8,Action,PG-13
The Last Samurai,1970,7.8,Action,UA
Cowboy Bebop: Tengoku no tobira,1970,7.8,Animation,U
Gongdong gyeongbi guyeok JSA,1970,7.8,Action,Not Rated
Jûbê ninpûchô,1970,7.8,Animation,A
The Fugitive,1970,7.8,Action,U
Batman: Mask of the Phantasm,1970,7.8,Animation,PG
Dip huet seung hung,1970,7.8,Action,R
Predator,1970,7.8,Action,A
Ghostbusters,1970,7.8,Action,UA
"Aguirre, der Zorn Gottes",1970,7.8,Action,Not Rated
Raazi,1970,7.7,Action,UA
Deadpool 2,1970,7.7,Action,R
Mission: Impossible - Fallout,1970,7.7,Action,U/A
Udta Punjab,1970,7.7,Action,A
Kubo and the Two Strings,1970,7.7,Animation,U
Kingsman: The Secret Service,1970,7.7,Action,A
Ajeossi,1970,7.7,Action,7
The Lego Movie,1970,7.7,Animation,U
Star Trek Into Darkness,1970,7.7,Action,UA
X: First Class,1970,7.7,Action,UA
3:10 to Yuma,1970,7.7,Action,A
Kung fu,1970,7.7,Action,UA
The Bourne Supremacy,1970,7.7,Action,A
Man on Fire,1970,7.7,Action,UA
Black Hawk Down,1970,7.7,Action,A
The Count of Monte Cristo,1970,7.7,Action,UA
Minority Report,1970,7.7,Action,A
The Boondock Saints,1970,7.7,Action,A
Training Day,1970,7.7,Action,A
Lola rennt,1970,7.7,Action,UA
The Last of the Mohicans,1970,7.7,Action,UA
Lat sau san taam,1970,7.7,Action,A
Star Trek II: The Wrath of Khan,1970,7.7,Action,U
First Blood,1970,7.7,Action,A
Badlands,1970,7.7,Action,Not Rated
The French Connection,1970,7.7,Action,A
Dirty Harry,1970,7.7,Action,A
The Dirty Dozen,1970,7.7,Action,U
Bonnie and Clyde,1970,7.7,Action,A
Goldfinger,1970,7.7,Action,A
The Longest Day,1970,7.7,Action,U
The Magnificent Seven,1970,7.7,Action,Not Rated
Key Largo,1970,7.7,Action,Not Rated
Pushpa: The Rise - Part 1,1970,7.6,Action,UA
Ölümlü Dünya,1970,7.6,Action,Not Rated
Ludo,1970,7.6,Action,16
Busanhaeng,1970,7.6,Action,A
Hotel Mumbai,1970,7.6,Action,A
Guardians of the Galaxy Vol. 2,1970,7.6,Action,UA
Baby Driver,1970,7.6,Action,UA
Only the Brave,1970,7.6,Action,UA
Incredibles 2,1970,7.6,Animation,UA
Sicario,1970,7.6,Action,A
Creed,1970,7.6,Action,UA
Dawn of the Planet of the Apes,1970,7.6,Action,UA
El cuerpo,1970,7.6,Action,Not Rated
Serbuan maut,1970,7.6,Action,A
End of Watch,1970,7.6,Action,A
Rise of the Planet of the Apes,1970,7.6,Action,UA
Kick-Ass,1970,7.6,Action,UA
Celda 211,1970,7.6,Action,A
Zombieland,1970,7.6,Action,A
Sherlock Holmes,1970,7.6,Action,16
United 93,1970,7.6,Action,UA
Huo Yuan Jia,1970,7.6,Action,PG-13
Kung Fu Panda,1970,7.6,Animation,U
Harry Potter and the Half-Blood Prince,1970,7.6,Action,UA
300,1970,7.6,Action,A
Watchmen,1970,7.6,Action,A
Batoru rowaiaru,1970,7.6,Action,18
Vampire Hunter D: Bloodlust,1970,7.6,Animation,U
Enemy at the Gates,1970,7.6,Action,A
Star Wars: Episode III - Revenge of the Sith,1970,7.6,Action,U
The Fifth Element,1970,7.6,Action,UA
Star Trek: First Contact,1970,7.6,Action,PG-13
Die Hard: With a Vengeance,1970,7.6,Action,A
Falling Down,1970,7.6,Action,UA
RoboCop,1970,7.6,Action,UA
Lethal Weapon,1970,7.6,Action,UA
Mad Max 2,1970,7.6,Action,UA
Rupan sansei: Kariosutoro no shiro,1970,7.6,Animation,U
Escape from Alcatraz,1970,7.6,Action,U
The Taking of Pelham One Two Three,1970,7.6,Action,U
Enter the Dragon,1970,7.6,Action,A
Where Eagles Dare,1970,7.6,Action,U
Tanhaji: The Unsung Warrior,1970,7.5,Action,UA
Upgrade,1970,7.5,Action,18
Mersal,1970,7.5,Action,UA
Fury,1970,7.5,Action,A
The Hunger Games: Catching Fire,1970,7.5,Action,UA
Delhi Belly,1970,7.5,Action,A
Waar,1970,7.5,Action,Not Rated
Hodejegerne,1970,7.5,Action,R
Jûsan-nin no shikaku,1970,7.5,Action,R
Yip Man 2,1970,7.5,Action,R
L'instinct de mort,1970,7.5,Action,R
Doctor Strange,1970,7.5,Action,UA
Retfærdighedens ryttere,1970,7.5,Action,Not Rated
Lone Survivor,1970,7.5,Action,A
Source Code,1970,7.5,Action,UA
Grindhouse,1970,7.5,Action,R
Dalkomhan insaeng,1970,7.5,Action,Not Rated
Jodhaa Akbar,1970,7.5,Action,UA
Scott Pilgrim vs. the World,1970,7.5,Action,U
Munich,1970,7.5,Action,A
Shi mian mai fu,1970,7.5,Action,UA
Harry Potter and the Order of the Phoenix,1970,7.5,Action,UA
Collateral,1970,7.5,Action,A
Zatôichi,1970,7.5,Action,R
Jui kuen II,1970,7.5,Action,UA
