movie_name,movie_date,movie_rating,movie_genre,movie_censor,budget,revenue
Ran,1985-01-01,8.2,Action,R,,
Pan's Labyrinth,2006-01-01,8.2,Drama,R,13000000.0,
The Truman Show,1998-01-01,8.2,Comedy,PG,,
There Will Be Blood,2007-01-01,8.2,Drama,R,25000000.0,
Unforgiven,1992-01-01,8.2,Drama,R,14400000.0,
The Sixth Sense,1999-01-01,8.2,Drama,PG-13,40000000.0,
Shutter Island,2010-01-01,8.2,Mystery,R,80000000.0,
A Beautiful Mind,2001-01-01,8.2,Biography,PG-13,,
Jurassic Park,1993-01-01,8.2,Action,PG-13,63000000.0,
Yojimbo,1961-01-01,8.2,Action,Not Rated,,
The Treasure of the Sierra Madre,1948-01-01,8.2,Adventure,Passed,,
Monty Python and the Holy Grail,1975-01-01,8.2,Adventure,PG,,
The Great Escape,1963-01-01,8.2,Adventure,Approved,,
No Country for Old Men,2007-01-01,8.2,Crime,R,,
Spider-Man: No Way Home,2021-01-01,8.2,Action,PG-13,,
Kill Bill: Vol. 1,2003-01-01,8.2,Action,R,,
Rashomon,1950-01-01,8.2,Crime,Not Rated,,
Rashomon,1950-01-01,8.2,Crime,Not Rated,,
The Thing,1982-01-01,8.2,Horror,R,15000000.0,
The Thing,1982-01-01,8.2,Horror,R,15000000.0,
Finding Nemo,2003-01-01,8.2,Animation,G,,
The Elephant Man,1980-01-01,8.2,Biography,PG,,
Chinatown,1974-01-01,8.2,Drama,R,,
Raging Bull,1980-01-01,8.2,Biography,R,,
V for Vendetta,2005-01-01,8.2,Action,R,54000000.0,
Gone with the Wind,1939-01-01,8.2,Drama,Passed,,
"Lock, Stock and Two Smoking Barrels",1998-01-01,8.2,Action,R,,
Inside Out,2015-01-01,8.2,Animation,PG,,
Dial M for Murder,1954-01-01,8.2,Crime,PG,,
The Secret in Their Eyes,2009-01-01,8.2,Drama,R,2000000.0,
Howl's Moving Castle,2004-01-01,8.2,Animation,PG,,
Howl's Moving Castle,2004-01-01,8.2,Animation,PG,,
"Three Billboards Outside Ebbing, Missouri",2017-01-01,8.1,Comedy,R,,
The Bridge on the River Kwai,1957-01-01,8.2,Adventure,PG,3000000.0,
Trainspotting,1996-01-01,8.1,Drama,R,,
Prisoners,2013-01-01,8.1,Crime,R,,
Warrior,2011-01-01,8.2,Action,PG-13,,
Fargo,1996-01-01,8.1,Crime,R,,
Gran Torino,2008-01-01,8.1,Drama,R,,
My Neighbor Totoro,1988-01-01,8.1,Animation,G,,
Catch Me If You Can,2002-01-01,8.1,Biography,PG-13,,
Million Dollar Baby,2004-01-01,8.1,Drama,PG-13,,
Children of Heaven,1997-01-01,8.2,Drama,PG,180000.0,
Children of Heaven,1997-01-01,8.2,Drama,PG,180000.0,
Blade Runner,1982-01-01,8.1,Action,R,28000000.0,
The Gold Rush,1925-01-01,8.1,Adventure,Passed,923000.0,
The Gold Rush,1925-01-01,8.1,Adventure,Passed,923000.0,
Before Sunrise,1995-01-01,8.1,Drama,R,2500000.0,
12 Years a Slave,2013-01-01,8.1,Biography,R,20000000.0,
Klaus,2019-01-01,8.2,Animation,PG,,
Harry Potter and the Deathly Hallows: Part 2,2011-01-01,8.1,Adventure,PG-13,,
On the Waterfront,1954-01-01,8.1,Crime,Approved,910000.0,
Ben-Hur,1959-01-01,8.1,Adventure,G,,
Ben-Hur,1959-01-01,8.1,Adventure,G,,
Gone Girl,2014-01-01,8.1,Drama,R,,
The Grand Budapest Hotel,2014-01-01,8.1,Adventure,R,,
Wild Strawberries,1957-01-01,8.1,Drama,Not Rated,,
Wild Strawberries,1957-01-01,8.1,Drama,Not Rated,,
The General,1926-01-01,8.1,Action,Passed,,
The General,1926-01-01,8.1,Action,Passed,,
The Third Man,1949-01-01,8.1,Film-Noir,Approved,,
