movie_name,movie_genre,movie_side_genre
Hot Fuzz,Action, Comedy
Serenity,Action, Adventure
The Last Samurai,Action, Drama
Cowboy Bebop: Tengoku no tobira,Animation, Action
Gongdong gyeongbi guyeok JSA,Action, Drama
Jûbê ninpûchô,Animation, Action
The Fugitive,Action, Crime
Batman: Mask of the Phantasm,Animation, Action
Dip huet seung hung,Action, Crime
Predator,Action, Adventure
Ghostbusters,Action, Comedy
Aguirre,Action, Adventure
 der Zorn Gottes,Action, Adventure
Raazi,Action, Drama
Deadpool 2,Action, Adventure
Mission: Impossible - Fallout,Action, Adventure
Udta Punjab,Action, Crime
Kubo and the Two Strings,Animation, Action
Kingsman: The Secret Service,Action, Adventure
Ajeossi,Action, Crime
The Lego Movie,Animation, Action
Star Trek Into Darkness,Action, Adventure
X: First Class,Action, Adventure
3:10 to Yuma,Action, Crime
Kung fu,Action, Comedy
The Bourne Supremacy,Action, Mystery
Man on Fire,Action, Crime
Black Hawk Down,Action, Drama
The Count of Monte Cristo,Action, Adventure
Minority Report,Action, Crime
The Boondock Saints,Action, Thriller
Training Day,Action, Crime
Lola rennt,Action, Crime
The Last of the Mohicans,Action, Adventure
Lat sau san taam,Action, Crime
Star Trek II: The Wrath of Khan,Action, Adventure
First Blood,Action, Adventure
Badlands,Action, Crime
The French Connection,Action, Crime
Dirty Harry,Action, Crime
The Dirty Dozen,Action, Adventure
Bonnie and Clyde,Action, Biography
Goldfinger,Action, Adventure
The Longest Day,Action, Drama
The Magnificent Seven,Action, Adventure
Key Largo,Action, Crime
Pushpa: The Rise - Part 1,Action, Adventure
Ölümlü Dünya,Action, Comedy
Ludo,Action, Comedy
Busanhaeng,Action, Horror
Hotel Mumbai,Action, Drama
Guardians of the Galaxy Vol. 2,Action, Adventure
Baby Driver,Action, Crime
Only the Brave,Action, Biography
Incredibles 2,Animation, Action
Sicario,Action, Crime
Creed,Action, Drama
Dawn of the Planet of the Apes,Action, Adventure
El cuerpo,Action, Crime
Serbuan maut,Action, Crime
End of Watch,Action, Adventure
Rise of the Planet of the Apes,Action, Drama
Kick-Ass,Action, Comedy
Celda 211,Action, Crime
Zombieland,Action, Comedy
Sherlock Holmes,Action, Adventure
United 93,Action, Drama
Huo Yuan Jia,Action, Biography
Kung Fu Panda,Animation, Action
Harry Potter and the Half-Blood Prince,Action, Adventure
300,Action, Drama
Watchmen,Action, Drama
Batoru rowaiaru,Action, Adventure
Vampire Hunter D: Bloodlust,Animation, Action
Enemy at the Gates,Action, Drama
Star Wars: Episode III - Revenge of the Sith,Action, Adventure
The Fifth Element,Action, Adventure
Star Trek: First Contact,Action, Adventure
Die Hard: With a Vengeance,Action, Adventure
Falling Down,Action, Crime
RoboCop,Action, Crime
Lethal Weapon,Action, Crime
Mad Max 2,Action, Adventure
Rupan sansei: Kariosutoro no shiro,Animation, Action
Escape from Alcatraz,Action, Biography
The Taking of Pelham One Two Three,Action, Crime
Enter the Dragon,Action, Crime
Where Eagles Dare,Action, Adventure
Tanhaji: The Unsung Warrior,Action, Biography
Upgrade,Action, Sci-Fi
Mersal,Action, Thriller
Fury,Action, Drama
The Hunger Games: Catching Fire,Action, Adventure
Delhi Belly,Action, Comedy
Waar,Action, Crime
Hodejegerne,Action, Crime
Jûsan-nin no shikaku,Action, Adventure
Yip Man 2,Action, Biography
L'instinct de mort,Action, Biography
Doctor Strange,Action, Adventure
Retfærdighedens ryttere,Action, Comedy
Lone Survivor,Action, Biography
Source Code,Action, Drama
Grindhouse,Action, Horror
Dalkomhan insaeng,Action, Crime
Jodhaa Akbar,Action, Drama
Scott Pilgrim vs. the World,Action, Comedy
Munich,Action, Drama
Shi mian mai fu,Action, Adventure
Harry Potter and the Order of the Phoenix,Action, Adventure
Collateral,Action, Crime
Zatôichi,Action, Comedy
Jui kuen II,Action, Comedy
The Crow,Action, Crime
Total Recall,Action, Adventure
The Hunt for Red October,Action, Adventure
Batman,Action, Adventure
Midnight Run,Action, Comedy
Ging chaat goo si,Action, Comedy
Indiana Jones and the Temple of Doom,Action, Adventure
The Warriors,Action, Crime
Tora! Tora! Tora!,Action, Drama
It's a Mad Mad Mad Mad World,Action, Adventure
The Guns of Navarone,Action, Adventure
Shang-Chi and the Legend of the Ten Rings,Action, Adventure
Nobody,Action, Crime
Spider-Man: Far from Home,Action, Adventure
John Wick: Chapter 3 - Parabellum,Action, Crime
John Wick: Chapter 2,Action, Crime
The Last Duel,Action, Drama
War for the Planet of the Apes,Action, Adventure
John Wick,Action, Crime
Predestination,Action, Drama
How to Train Your Dragon: The Hidden World,Animation, Action
Mission: Impossible - Rogue Nation,Action, Adventure
Spider-Man: Homecoming,Action, Adventure
Rurôni Kenshin: Meiji kenkaku roman tan,Action, Adventure
Ready Player One,Action, Adventure
Sherlock Holmes: A Game of Shadows,Action, Adventure
Samâ uôzu,Animation, Action
Looper,Action, Drama
Mission: Impossible - Ghost Protocol,Action, Thriller
Law Abiding Citizen,Action, Crime
Black Dynamite,Action, Comedy
Wonder Woman,Action, Adventure
L'ennemi public n°1,Action, Biography
A History of Violence,Action, Crime
Spider-Man 2,Action, Adventure
Open Range,Action, Drama
Master and Commander: The Far Side of the World,Action, Adventure
X2,Action, Adventure
Spider-Man,Action, Adventure
The Rock,Action, Adventure
Thief,Action, Crime
Zui quan,Action, Comedy
Superman,Action, Adventure
Get Carter,Action, Crime
Bullitt,Action, Crime
From Russia with Love,Action, Adventure
El Camino: A Breaking Bad Movie,Action, Crime
DC League of Super-Pets,Animation, Action
Tenet,Action, Sci-Fi
Raya and the Last Dragon,Animation, Action
Patriots Day,Action, Crime
13 Hours,Action, Drama
The Lego Batman Movie,Animation, Action
Okja,Action, Adventure
The Nice Guys,Action, Comedy
Avengers: Age of Ultron,Action, Adventure
No Time to Die,Action, Adventure
American Sniper,Action, Biography
The Accountant,Action, Thriller
Eye in the Sky,Action, Drama
Black Panther,Action, Adventure
Southpaw,Action, Crime
Fast Five,Action, Crime
The Next Three Days,Action, Crime
Bullet Train,Action, Comedy
Ghajini,Action, Drama
Master,Action, Thriller
Invictus,Action, Biography
Max Manus,Action, Biography
Megamind,Animation, Action
The Adventures of Tintin,Animation, Action
Der Baader Meinhof Komplex,Action, Biography
Ant-Man,Action, Adventure
Alita: Battle Angel,Action, Adventure
Chi bi,Action, Adventure
Running Scared,Action, Crime
Pirates of the Caribbean: Dead Man's Chest,Action, Adventure
Layer Cake,Action, Crime
Dawn of the Dead,Action, Horror
Siu Lam juk kau,Action, Comedy
Equilibrium,Action, Drama
X-Men,Action, Adventure
The Negotiator,Action, Crime
Enemy of the State,Action, Thriller
Starship Troopers,Action, Adventure
Men in Black,Action, Adventure
Grosse Pointe Blank,Action, Comedy
Face/Off,Action, Crime
Crimson Tide,Action, Drama
True Lies,Action, Comedy
Speed,Action, Adventure
Nikita,Action, Crime
Star Trek IV: The Voyage Home,Action, Adventure
To Live and Die in L.A.,Action, Crime
The Karate Kid,Action, Drama
Beverly Hills Cop,Action, Comedy
Assault on Precinct 13,Action, Crime
The Getaway,Action, Crime
Jason and the Argonauts,Action, Adventure
The Suicide Squad,Action, Adventure
Anthropoid,Action, Biography
The Siege of Jadotville,Action, Drama
Bajirao Mastani,Action, Drama
La isla mínima,Action, Crime
'71,Action, Crime
Holiday,Action, Crime
Unbroken,Action, Biography
The Man from U.N.C.L.E.,Action, Adventure
Kon-Tiki,Action, Adventure
War Horse,Action, Adventure
Rise of the Guardians,Animation, Action
The Hunger Games,Action, Adventure
Kung Fu Panda 2,Animation, Action
Harry Brown,Action, Crime
Old Henry,Action, Drama
21 Jump Street,Action, Comedy
VR (Vikrant Rona),Action, Adventure
Rango,Animation, Action
Prey,Action, Adventure
The Witcher: Nightmare of the Wolf,Animation, Action
RocknRolla,Action, Crime
Joheunnom nabbeunnom isanghannom,Action, Adventure
I Am Legend,Action, Drama
The Equalizer,Action, Crime
Mongol,Action, Biography
Friday Night Lights,Action, Drama
Fainaru fantajî sebun adobento chirudoren,Animation, Action
Team America: World Police,Action, Comedy
The Life Aquatic with Steve Zissou,Action, Adventure
King Kong,Action, Adventure
Kingdom of Heaven,Action, Adventure
The Matrix Reloaded,Action, Sci-Fi
The Patriot,Action, Drama
Arlington Road,Action, Crime
Ronin,Action, Crime
From Dusk Till Dawn,Action, Crime
GoldenEye,Action, Adventure
Natural Born Killers,Action, Crime
In the Line of Fire,Action, Crime
Star Trek VI: The Undiscovered Country,Action, Adventure
Point Break,Action, Crime
Lethal Weapon 2,Action, Crime
Willow,Action, Adventure
They Live,Action, Horror
The Transformers: The Movie,Animation, Action
The Hitcher,Action, Thriller
Big Trouble in Little China,Action, Adventure
Silverado,Action, Crime
Runaway Train,Action, Adventure
Magnum Force,Action, Crime
Meng long guo jiang,Action, Adventure
Jing wu men,Action, Drama
Vanishing Point,Action, Crime
The Italian Job,Action, Comedy
Django,Action, Western
