movie_name,movie_date,director
The Sound of Music,1970,Robert Wise
It Happened One Night,1970,Frank Capra
Persona,1970,Ingmar Bergman
Life of Brian,1970,Terry Jones
The Iron Giant,1970,Brad Bird
The Help,1970,Tate Taylor
Dersu Uzala,1970,Akira Kurosawa
Aladdin,1970,Ron Clements
Aladdin,1970,John Musker
Gandhi,1970,Richard Attenborough
Dances with Wolves,1970,Kevin Costner
Kantara,1970,Rishab Shetty
The Matrix,1970,Directors:Lana Wachowski
The Empire Strikes Back,1970,Irvin Kershner
Star Wars,1970,George Lucas
Seppuku,1970,Masaki Kobayashi
Shichinin no samurai,1970,Akira Kurosawa
Kaithi,1970,Lokesh Kanagaraj
Asuran,1970,Vetrimaaran
Sita Ramam,1970,Hanu Raghavapudi
Léon,1970,Luc Besson
Vikram,1970,Lokesh Kanagaraj
Spider-Man: Into the Spider-Verse,1970,Directors:Bob Persichetti
Avengers: Endgame,1970,Directors:Anthony Russo
Avengers: Infinity War,1970,Directors:Anthony Russo
K.G.F: Chapter 2,1970,Prashanth Neel
Shershaah,1970,Vishnuvardhan
Oldeuboi,1970,Park Chan-wook
Mononoke-hime,1970,Hayao Miyazaki
Raiders of the Lost Ark,1970,Steven Spielberg
Vikram Vedha,1970,Directors:Gayatri
Vikram Vedha,1970,Pushkar
Vikram Vedha,1970,Gowtham Selvaraj
Major,1970,Sashi Kiran Tikka
Uri: The Surgical Strike,1970,Aditya Dhar
K.G.F: Chapter 1,1970,Prashanth Neel
Dag II,1970,Alper Caglar
Baahubali 2: The Conclusion,1970,S.S. Rajamouli
Gangs of Wasseypur,1970,Anurag Kashyap
Paan Singh Tomar,1970,Tigmanshu Dhulia
Kimetsu no Yaiba: Mugen Ressha-Hen,1970,Haruo Sotozaki
Yôjinbô,1970,Akira Kurosawa
The General,1970,Directors:Clyde Bruckman
Everything Everywhere All at Once,1970,Directors:Dan Kwan
Everything Everywhere All at Once,1970,Daniel Scheinert
Bajrangi Bhaijaan,1970,Kabir Khan
A Wednesday,1970,Neeraj Pandey
How to Train Your Dragon,1970,Directors:Dean DeBlois
Hera Pheri,1970,Priyadarshan
Sarfarosh,1970,John Mathew Matthan
Sholay,1970,Ramesh Sippy
Kakushi-toride no san-akunin,1970,Akira Kurosawa
White Heat,1970,Raoul Walsh
RRR (Rise Roar Revolt),1970,S.S. Rajamouli
Arjun Reddy,1970,Sandeep Reddy Vanga
Kaththi,1970,A.R. Murugadoss
Haider,1970,Vishal Bhardwaj
Bãhubali: The Beginning,1970,S.S. Rajamouli
1 - Nenokkadine,1970,Sukumar
Thuppakki,1970,A.R. Murugadoss
Guardians of the Galaxy,1970,James Gunn
Blade Runner 2049,1970,Denis Villeneuve
The Revenant,1970,Alejandro G. Iñárritu
Tropa de Elite 2: O Inimigo Agora é Outro,1970,José Padilha
Deadpool,1970,Tim Miller
Karthikeya 2,1970,Chandoo Mondeti
Zack Snyder's Justice League,1970,Zack Snyder
Ip Man,1970,Wilson Yip
Nefes: Vatan Sagolsun,1970,Levent Semerci
Dune: Part One,1970,Denis Villeneuve
Tropa de Elite,1970,José Padilha
The Avengers,1970,Joss Whedon
The Bourne Ultimatum,1970,Paul Greengrass
Taegukgi hwinalrimyeo,1970,Je-kyu Kang
Casino Royale,1970,Martin Campbell
Kill Bill: Vol. 2,1970,Quentin Tarantino
Mou gaan dou,1970,Directors:Andrew Lau
Mou gaan dou,1970,Alan Mak
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1970,Directors:Hideaki Anno
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1970,Kazuya Tsurumaki
Andaz Apna Apna,1970,Rajkumar Santoshi
Akira,1970,Katsuhiro Ôtomo
Sanjuro,1970,Akira Kurosawa
Minnal Murali,1970,Basil Joseph
Airlift,1970,Raja Menon
Baby,1970,Neeraj Pandey
Thor: Ragnarok,1970,Taika Waititi
Serbuan maut 2: Berandal,1970,Gareth Evans
Vishwaroopam,1970,Kamal Haasan
X-Men: Days of Future Past,1970,Bryan Singer
The Batman,1970,Matt Reeves
Edge of Tomorrow,1970,Doug Liman
District 9,1970,Neill Blomkamp
Star Trek,1970,J.J. Abrams
Letters from Iwo Jima,1970,Clint Eastwood
Iron Man,1970,Jon Favreau
Ying xiong,1970,Yimou Zhang
The Bourne Identity,1970,Doug Liman
Children of Men,1970,Alfonso Cuarón
Wo hu cang long,1970,Ang Lee
Knockin' on Heaven's Door,1970,Thomas Jahn
Kôkaku Kidôtai,1970,Mamoru Oshii
The Blues Brothers,1970,John Landis
The Wild Bunch,1970,Sam Peckinpah
Per un pugno di dollari,1970,Sergio Leone
The Adventures of Robin Hood,1970,Directors:Michael Curtiz
The Adventures of Robin Hood,1970,William Keighley
The Gentlemen,1970,Guy Ritchie
Doragon bôru chô: Burorî,1970,Tatsuya Nagamine
Dunkirk,1970,Christopher Nolan
Rogue One,1970,Gareth Edwards
Captain America: Civil War,1970,Directors:Anthony Russo
Captain America: Civil War,1970,Joe Russo
Star Wars: Episode VII - The Force Awakens,1970,J.J. Abrams
Big Hero 6,1970,Directors:Don Hall
Big Hero 6,1970,Chris Williams
Captain America: The Winter Soldier,1970,Directors:Anthony Russo
Captain America: The Winter Soldier,1970,Joe Russo
How to Train Your Dragon 2,1970,Dean DeBlois
Ang-ma-reul bo-at-da,1970,Jee-woon Kim
Captain Phillips,1970,Paul Greengrass
