award_year,person_name,award_category,award_winner
1976,Saul Zaentz and Michael Douglas,BEST PICTURE,True
1976,Bob Godfrey,SHORT FILM (Animated),True
1976,Producer,SHORT FILM (Animated),True
1976,Bert Salzman,SHORT FILM (Live Action),True
1976,Producer,SHORT FILM (Live Action),True
1976,Robert L. Hoyt,SOUND,True
1976,Roger Heman,SOUND,True
1976,Earl Madery,SOUND,True
1976,John Carter,SOUND,True
1976,Frank Pierson,WRITING (Original Screenplay),True
1976,Lawrence Hauben,WRITING (Screenplay Adapted from Other Material),True
1976,Bo Goldman,WRITING (Screenplay Adapted from Other Material),True
1976,Peter Berkos,SPECIAL ACHIEVEMENT AWARD (Sound Effects),True
1976,Albert Whitlock,SPECIAL ACHIEVEMENT AWARD (Visual Effects),True
1976,Glen Robinson,SPECIAL ACHIEVEMENT AWARD (Visual Effects),True
1976,Dr. Jules C. Stein,JEAN HERSHOLT HUMANITARIAN AWARD,True
1976,Mary Pickford in recognition of her unique contributions to the film industry and the development of film as an artistic medium.,HONORARY AWARD,True
1976,Mervyn LeRoy,IRVING G. THALBERG MEMORIAL AWARD,True
1977,Peter Finch,ACTOR IN A LEADING ROLE,True
1977,Jason Robards,ACTOR IN A SUPPORTING ROLE,True
1977,Faye Dunaway,ACTRESS IN A LEADING ROLE,True
1977,Beatrice Straight,ACTRESS IN A SUPPORTING ROLE,True
1977,Art Direction:  George Jenkins,ART DIRECTION,True
1977,Set Decoration:  George Gaines,ART DIRECTION,True
1977,Haskell Wexler,CINEMATOGRAPHY,True
1977,Danilo Donati,COSTUME DESIGN,True
1977,John G. Avildsen,DIRECTING,True
1977,Barbara Kopple,DOCUMENTARY (Feature),True
1977,Producer,DOCUMENTARY (Feature),True
1977,Lynne Littman,DOCUMENTARY (Short Subject),True
1977,Richard Halsey,FILM EDITING,True
1977,Scott Conrad,FILM EDITING,True
1977,Ivory Coast,FOREIGN LANGUAGE FILM,True
1977,Jerry Goldsmith,MUSIC (Original Score),True
1977,Adaptation Score by Leonard Rosenman,MUSIC (Original Song Score and Its Adaptation or Adaptation Score),True
1977,Music by Barbra Streisand,MUSIC (Original Song),True
1977,Lyrics by Paul Williams,MUSIC (Original Song),True
1977,Irwin Winkler and Robert Chartoff,BEST PICTURE,True
1977,Suzanne Baker,SHORT FILM (Animated),True
1977,Andre Guttfreund and Peter Werner,SHORT FILM (Live Action),True
1977,Producers,SHORT FILM (Live Action),True
1977,Arthur Piantadosi,SOUND,True
1977,Les Fresholtz,SOUND,True
1977,Dick Alexander,SOUND,True
1977,Jim Webb,SOUND,True
1977,William Goldman,WRITING (Screenplay--based on material from another medium),True
1977,Paddy Chayefsky,WRITING (Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced),True
1977,Carlo Rambaldi,SPECIAL ACHIEVEMENT AWARD (Visual Effects),True
1977,Glen Robinson,SPECIAL ACHIEVEMENT AWARD (Visual Effects),True
1977,Frank Van der Veer,SPECIAL ACHIEVEMENT AWARD (Visual Effects),True
1977,L. B. Abbott,SPECIAL ACHIEVEMENT AWARD (Visual Effects),True
1977,Matthew Yuricich,SPECIAL ACHIEVEMENT AWARD (Visual Effects),True
1977,Pandro S. Berman,IRVING G. THALBERG MEMORIAL AWARD,True
1978,Richard Dreyfuss,ACTOR IN A LEADING ROLE,True
1978,Jason Robards,ACTOR IN A SUPPORTING ROLE,True
1978,Diane Keaton,ACTRESS IN A LEADING ROLE,True
1978,Vanessa Redgrave,ACTRESS IN A SUPPORTING ROLE,True
1978,Art Direction:  John Barry,ART DIRECTION,True
1978,Norman Reynolds,ART DIRECTION,True
1978,Leslie Dilley,ART DIRECTION,True
1978,Set Decoration:  Roger Christian,ART DIRECTION,True
1978,Vilmos Zsigmond,CINEMATOGRAPHY,True
1978,John Mollo,COSTUME DESIGN,True
1978,Woody Allen,DIRECTING,True
1978,John Korty,DOCUMENTARY (Feature),True
1978,Dan McCann and Warren L. Lockhart,DOCUMENTARY (Feature),True
1978,John Joseph and Jan Stussy,DOCUMENTARY (Short Subject),True
1978,Paul Hirsch,FILM EDITING,True
1978,Marcia Lucas,FILM EDITING,True
1978,Richard Chew,FILM EDITING,True
1978,France,FOREIGN LANGUAGE FILM,True
1978,Adaptation Score by Jonathan Tunick,MUSIC (Original Song Score and Its Adaptation or Adaptation Score),True
1978,Music and Lyrics by Joseph Brooks,MUSIC (Original Song),True
1978,Charles H. Joffe,BEST PICTURE,True
1978,Producer,BEST PICTURE,True
1978,Co Hoedeman,SHORT FILM (Animated),True
1978,Beverly Shaffer and Yuki Yoshida,SHORT FILM (Live Action),True
1978,Producers,SHORT FILM (Live Action),True
1978,Ray West,SOUND,True
1978,Bob Minkler,SOUND,True
1978,Derek Ball,SOUND,True
1978,John Stears,VISUAL EFFECTS,True
1978,John Dykstra,VISUAL EFFECTS,True
1978,Richard Edlund,VISUAL EFFECTS,True
1978,Grant McCune,VISUAL EFFECTS,True
1978,Robert Blalack,VISUAL EFFECTS,True
1978,Alvin Sargent,WRITING (Screenplay--based on material from another medium),True
1978,Woody Allen,WRITING (Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced),True
1978,Marshall Brickman,WRITING (Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced),True
1978,Benjamin Burtt,SPECIAL ACHIEVEMENT AWARD,True
1978,Frank E. Warner,SPECIAL ACHIEVEMENT AWARD (Sound Effects Editing),True
1978,Charlton Heston,JEAN HERSHOLT HUMANITARIAN AWARD,True
1978,Margaret Booth for her exceptional contribution to the art of film editing in the motion picture industry.,HONORARY AWARD,True
1978,Walter Mirisch,IRVING G. THALBERG MEMORIAL AWARD,True
1979,Jon Voight,ACTOR IN A LEADING ROLE,True
1979,Christopher Walken,ACTOR IN A SUPPORTING ROLE,True
1979,Jane Fonda,ACTRESS IN A LEADING ROLE,True
1979,Maggie Smith,ACTRESS IN A SUPPORTING ROLE,True
1979,Art Direction:  Paul Sylbert,ART DIRECTION,True
1979,Edwin O'Donovan,ART DIRECTION,True
1979,Set Decoration:  George Gaines,ART DIRECTION,True
1979,Nestor Almendros,CINEMATOGRAPHY,True
1979,Anthony Powell,COSTUME DESIGN,True
1979,Michael Cimino,DIRECTING,True
1979,Arnold Shapiro,DOCUMENTARY (Feature),True
1979,Jacqueline Phillips Shedd and Ben Shedd,DOCUMENTARY (Short Subject),True
1979,Producers,DOCUMENTARY (Short Subject),True
1979,Peter Zinner,FILM EDITING,True
1979,France,FOREIGN LANGUAGE FILM,True
1979,Joe Renzetti,MUSIC (Adaptation Score),True
1979,Giorgio Moroder,MUSIC (Original Score),True
1979,Music and Lyrics by Paul Jabara,MUSIC (Original Song),True
1979,Barry Spikings,BEST PICTURE,True
1979,Michael Deeley,BEST PICTURE,True
1979,Michael Cimino and John Peverall,BEST PICTURE,True
1979,Producers,BEST PICTURE,True
1979,Eunice Macaulay and John Weldon,SHORT FILM (Animated),True
1979,Producers,SHORT FILM (Animated),True
1979,Taylor Hackford,SHORT FILM (Live Action),True
1979,Richard Portman,SOUND,True
1979,William McCaughey,SOUND,True
1979,Aaron Rochin,SOUND,True
1979,Darin Knight,SOUND,True
1979,Oliver Stone,WRITING (Screenplay Based on Material from Another Medium),True
1979,Story by Nancy Dowd,WRITING (Screenplay Written Directly for the Screen),True
1979,Screenplay by Waldo Salt,WRITING (Screenplay Written Directly for the Screen),True
1979,Robert C. Jones,WRITING (Screenplay Written Directly for the Screen),True
1979,Les Bowie,SPECIAL ACHIEVEMENT AWARD (Visual Effects),True
1979,Colin Chilvers,SPECIAL ACHIEVEMENT AWARD (Visual Effects),True
1979,Denys Coop,SPECIAL ACHIEVEMENT AWARD (Visual Effects),True
1979,Roy Field,SPECIAL ACHIEVEMENT AWARD (Visual Effects),True
1979,Derek Meddings,SPECIAL ACHIEVEMENT AWARD (Visual Effects),True
1979,Zoran Perisic,SPECIAL ACHIEVEMENT AWARD (Visual Effects),True
1979,Leo Jaffe,JEAN HERSHOLT HUMANITARIAN AWARD,True
1979,Walter Lantz for bringing joy and laughter to every part of the world through his unique animated motion pictures.,HONORARY AWARD,True
1979,The Museum of Modern Art Department of Film for the contribution it has made to the public's perception of movies as an art form.,HONORARY AWARD,True
1979,Laurence Olivier for the full body of his work,HONORARY AWARD,True
1979,King Vidor for his incomparable achievements as a cinematic creator and innovator.,HONORARY AWARD,True
1980,Dustin Hoffman,ACTOR IN A LEADING ROLE,True
1980,Melvyn Douglas,ACTOR IN A SUPPORTING ROLE,True
1980,Sally Field,ACTRESS IN A LEADING ROLE,True
1980,Meryl Streep,ACTRESS IN A SUPPORTING ROLE,True
1980,Art Direction:  Philip Rosenberg,ART DIRECTION,True
1980,Tony Walton,ART DIRECTION,True
1980,Set Decoration:  Edward Stewart,ART DIRECTION,True
1980,Gary Brink,ART DIRECTION,True
1980,Vittorio Storaro,CINEMATOGRAPHY,True
1980,Albert Wolsky,COSTUME DESIGN,True
1980,Robert Benton,DIRECTING,True
1980,Ira Wohl,DOCUMENTARY (Feature),True
1980,Producer,DOCUMENTARY (Feature),True
1980,Saul J. Turell,DOCUMENTARY (Short Subject),True
1980,Alan Heim,FILM EDITING,True
1980,Federal Republic of Germany,FOREIGN LANGUAGE FILM,True
1980,Georges Delerue,MUSIC (Original Score),True
1980,Adaptation Score by Ralph Burns,MUSIC (Original Song Score and Its Adaptation -or- Adaptation Score),True
1980,Lyric by Norman Gimbel,MUSIC (Original Song),True
1980,Stanley R. Jaffe,BEST PICTURE,True
1980,Derek Lamb,SHORT FILM (Animated),True
1980,Producer,SHORT FILM (Animated),True
1980,Sarah Pillsbury and Ron Ellis,SHORT FILM (Live Action),True
1980,Producers,SHORT FILM (Live Action),True
1980,Walter Murch,SOUND,True
1980,Mark Berger,SOUND,True
1980,Richard Beggs,SOUND,True
1980,Nat Boxer,SOUND,True
1980,H.R. Giger,VISUAL EFFECTS,True
1980,Carlo Rambaldi,VISUAL EFFECTS,True
1980,Brian Johnson,VISUAL EFFECTS,True
1980,Nick Allder,VISUAL EFFECTS,True
1980,Denys Ayling,VISUAL EFFECTS,True
1980,Robert Benton,WRITING (Screenplay Based on Material from Another Medium),True
1980,Steve Tesich,WRITING (Screenplay Written Directly for the Screen),True
1980,Alan Splet,SPECIAL ACHIEVEMENT AWARD (Sound Editing),True
1980,Robert Benjamin,JEAN HERSHOLT HUMANITARIAN AWARD,True
1980,Alec Guinness for advancing the art of screen acting through a host of memorable and distinguished performances.,HONORARY AWARD,True
1980,Hal Elias for his dedication and distinguished service to the Academy of Motion Picture Arts and Sciences.,HONORARY AWARD,True
1980,Ray Stark,IRVING G. THALBERG MEMORIAL AWARD,True
1981,Robert De Niro,ACTOR IN A LEADING ROLE,True
1981,Timothy Hutton,ACTOR IN A SUPPORTING ROLE,True
1981,Sissy Spacek,ACTRESS IN A LEADING ROLE,True
1981,Mary Steenburgen,ACTRESS IN A SUPPORTING ROLE,True
1981,Art Direction:  Pierre Guffroy,ART DIRECTION,True
1981,Jack Stephens,ART DIRECTION,True
1981,Geoffrey Unsworth,CINEMATOGRAPHY,True
1981,Ghislain Cloquet,CINEMATOGRAPHY,True
1981,Anthony Powell,COSTUME DESIGN,True
1981,Robert Redford,DIRECTING,True
1981,Murray Lerner,DOCUMENTARY (Feature),True
1981,Roland Hallé and Peter W. Ladue,DOCUMENTARY (Short Subject),True
1981,Thelma Schoonmaker,FILM EDITING,True
1981,Union of Soviet Socialist Republics,FOREIGN LANGUAGE FILM,True
1981,Michael Gore,MUSIC (Original Score),True
1981,Music by Michael Gore,MUSIC (Original Song),True
1981,Lyric by Dean Pitchford,MUSIC (Original Song),True
1981,Ronald L. Schwary,BEST PICTURE,True
1981,Ferenc Rofusz,SHORT FILM (Animated),True
1981,Lloyd Phillips,SHORT FILM (Dramatic Live Action),True
1981,Producer,SHORT FILM (Dramatic Live Action),True
1981,Bill Varney,SOUND,True
1981,Steve Maslow,SOUND,True
1981,Gregg Landaker,SOUND,True
1981,Peter Sutton,SOUND,True
1981,Alvin Sargent,WRITING (Screenplay Based on Material from Another Medium),True
1981,Bo Goldman,WRITING (Screenplay Written Directly for the Screen),True
1981,Brian Johnson,SPECIAL ACHIEVEMENT AWARD (Visual Effects),True
1981,Richard Edlund,SPECIAL ACHIEVEMENT AWARD (Visual Effects),True
1981,Dennis Muren,SPECIAL ACHIEVEMENT AWARD (Visual Effects),True
1981,Bruce Nicholson,SPECIAL ACHIEVEMENT AWARD (Visual Effects),True
1981,Henry Fonda,HONORARY AWARD,True
1982,Henry Fonda,ACTOR IN A LEADING ROLE,True
1982,John Gielgud,ACTOR IN A SUPPORTING ROLE,True
1982,Katharine Hepburn,ACTRESS IN A LEADING ROLE,True
1982,Maureen Stapleton,ACTRESS IN A SUPPORTING ROLE,True
1982,Art Direction:  Norman Reynolds,ART DIRECTION,True
1982,Leslie Dilley,ART DIRECTION,True
1982,Set Decoration:  Michael Ford,ART DIRECTION,True
1982,Vittorio Storaro,CINEMATOGRAPHY,True
1982,Milena Canonero,COSTUME DESIGN,True
1982,Warren Beatty,DIRECTING,True
1982,Arnold Schwartzman and Rabbi Marvin Hier,DOCUMENTARY (Feature),True
1982,Nigel Noble,DOCUMENTARY (Short Subject),True
1982,Michael Kahn,FILM EDITING,True
1982,Hungary,FOREIGN LANGUAGE FILM,True
1982,Rick Baker,MAKEUP,True
1982,Vangelis,MUSIC (Original Score),True
1982,Music and Lyric by Burt Bacharach,MUSIC (Original Song),True
1982,Carole Bayer Sager,MUSIC (Original Song),True
1982,Christopher Cross and Peter Allen,MUSIC (Original Song),True
1982,David Puttnam,BEST PICTURE,True
1982,Producer,BEST PICTURE,True
1982,Frédéric Back,SHORT FILM (Animated),True
1982,Producer,SHORT FILM (Animated),True
1982,Paul Kemp and Shelley Levinson,SHORT FILM (Live Action),True
1982,Producers,SHORT FILM (Live Action),True
1982,Bill Varney,SOUND,True
1982,Steve Maslow,SOUND,True
1982,Gregg Landaker,SOUND,True
1982,Roy Charman,SOUND,True
1982,Richard Edlund,VISUAL EFFECTS,True
1982,Kit West,VISUAL EFFECTS,True
1982,Bruce Nicholson,VISUAL EFFECTS,True
1982,Joe Johnston,VISUAL EFFECTS,True
1982,Ernest Thompson,WRITING (Screenplay Based on Material from Another Medium),True
1982,Colin Welland,WRITING (Screenplay Written Directly for the Screen),True
1982,Ben Burtt,SPECIAL ACHIEVEMENT AWARD (Sound Effects Editing),True
1982,Richard L. Anderson,SPECIAL ACHIEVEMENT AWARD (Sound Effects Editing),True
1982,Danny Kaye,JEAN HERSHOLT HUMANITARIAN AWARD,True
1982,Barbara Stanwyck for superlative creativity and unique contribution to the art of screen acting.,HONORARY AWARD,True
1982,Albert R. Broccoli,IRVING G. THALBERG MEMORIAL AWARD,True
1983,Ben Kingsley,ACTOR IN A LEADING ROLE,True
1983,Louis Gossett,ACTOR IN A SUPPORTING ROLE,True
1983,Jr.,ACTOR IN A SUPPORTING ROLE,True
1983,Meryl Streep,ACTRESS IN A LEADING ROLE,True
1983,Jessica Lange,ACTRESS IN A SUPPORTING ROLE,True
1983,Art Direction:  Stuart Craig,ART DIRECTION,True
1983,Bob Laing,ART DIRECTION,True
1983,Set Decoration:  Michael Seirton,ART DIRECTION,True
1983,Billy Williams,CINEMATOGRAPHY,True
1983,Ronnie Taylor,CINEMATOGRAPHY,True
1983,John Mollo,COSTUME DESIGN,True
1983,Bhanu Athaiya,COSTUME DESIGN,True
1983,Richard Attenborough,DIRECTING,True
1983,John Zaritsky,DOCUMENTARY (Feature),True
1983,Edward Le Lorrain and Terri Nash,DOCUMENTARY (Short Subject),True
1983,Producers,DOCUMENTARY (Short Subject),True
1983,John Bloom,FILM EDITING,True
1983,Spain,FOREIGN LANGUAGE FILM,True
1983,Sarah Monzani,MAKEUP,True
1983,Michèle Burke,MAKEUP,True
1983,John Williams,MUSIC (Original Score),True
1983,Song Score by Henry Mancini and Leslie Bricusse,MUSIC (Original Song Score and Its Adaptation -or- Adaptation Score),True
1983,Adaptation Score by Henry Mancini,MUSIC (Original Song Score and Its Adaptation -or- Adaptation Score),True
1983,Music by Jack Nitzsche and Buffy Sainte-Marie,MUSIC (Original Song),True
1983,Lyric by Will Jennings,MUSIC (Original Song),True
1983,Richard Attenborough,BEST PICTURE,True
1983,Producer,BEST PICTURE,True
1983,Zbigniew Rybczynski,SHORT FILM (Animated),True
1983,Christine Oestreicher,SHORT FILM (Live Action),True
1983,Robert Knudson,SOUND,True
1983,Robert Glass,SOUND,True
1983,Don Digirolamo,SOUND,True
1983,Gene Cantamessa,SOUND,True
1983,Charles L. Campbell,SOUND EFFECTS EDITING,True
1983,Ben Burtt,SOUND EFFECTS EDITING,True
1983,Carlo Rambaldi,VISUAL EFFECTS,True
1983,Dennis Muren,VISUAL EFFECTS,True
1983,Kenneth F. Smith,VISUAL EFFECTS,True
1983,Costa-Gavras,WRITING (Screenplay Based on Material from Another Medium),True
1983,Donald Stewart,WRITING (Screenplay Based on Material from Another Medium),True
1983,John Briley,WRITING (Screenplay Written Directly for the Screen),True
1983,Walter Mirisch,JEAN HERSHOLT HUMANITARIAN AWARD,True
1983,Mickey Rooney,HONORARY AWARD,True
1984,Robert Duvall,ACTOR IN A LEADING ROLE,True
1984,Jack Nicholson,ACTOR IN A SUPPORTING ROLE,True
1984,Shirley MacLaine,ACTRESS IN A LEADING ROLE,True
1984,Linda Hunt,ACTRESS IN A SUPPORTING ROLE,True
1984,Anna Asp,ART DIRECTION,True
1984,Sven Nykvist,CINEMATOGRAPHY,True
1984,Marik Vos,COSTUME DESIGN,True
1984,James L. Brooks,DIRECTING,True
1984,Emile Ardolino,DOCUMENTARY (Feature),True
1984,Producer,DOCUMENTARY (Feature),True
1984,Cynthia Scott and Adam Symansky,DOCUMENTARY (Short Subject),True
1984,Producers,DOCUMENTARY (Short Subject),True
1984,Glenn Farr,FILM EDITING,True
1984,Lisa Fruchtman,FILM EDITING,True
1984,Stephen A. Rotter,FILM EDITING,True
1984,Douglas Stewart,FILM EDITING,True
1984,Tom Rolf,FILM EDITING,True
1984,Sweden,FOREIGN LANGUAGE FILM,True
1984,Bill Conti,MUSIC (Original Score),True
1984,Song Score by Michel Legrand,MUSIC (Original Song Score or Adaptation Score),True
1984,Alan Bergman and Marilyn Bergman,MUSIC (Original Song Score or Adaptation Score),True
1984,Music by Giorgio Moroder,MUSIC (Original Song),True
1984,Lyric by Keith Forsey and Irene Cara,MUSIC (Original Song),True
1984,James L. Brooks,BEST PICTURE,True
1984,Jimmy Picker,SHORT FILM (Animated),True
1984,Janice L. Platt,SHORT FILM (Live Action),True
1984,Producer,SHORT FILM (Live Action),True
1984,Mark Berger,SOUND,True
1984,Tom Scott,SOUND,True
1984,David MacMillan,SOUND,True
1984,Jay Boekelheide,SOUND EFFECTS EDITING,True
1984,James L. Brooks,WRITING (Screenplay Based on Material from Another Medium),True
1984,Horton Foote,WRITING (Screenplay Written Directly for the Screen),True
1984,Richard Edlund,SPECIAL ACHIEVEMENT AWARD (Visual Effects),True
1984,Dennis Muren,SPECIAL ACHIEVEMENT AWARD (Visual Effects),True
1984,Ken Ralston,SPECIAL ACHIEVEMENT AWARD (Visual Effects),True
1984,Phil Tippett,SPECIAL ACHIEVEMENT AWARD (Visual Effects),True
1984,M. J. Frankovich,JEAN HERSHOLT HUMANITARIAN AWARD,True
1984,Hal Roach,HONORARY AWARD,True
1985,F. Murray Abraham,ACTOR IN A LEADING ROLE,True
1985,Haing S. Ngor,ACTOR IN A SUPPORTING ROLE,True
1985,Sally Field,ACTRESS IN A LEADING ROLE,True
1985,Peggy Ashcroft,ACTRESS IN A SUPPORTING ROLE,True
1985,Art Direction:  Patrizia Von Brandenstein,ART DIRECTION,True
1985,Set Decoration:  Karel Cerny,ART DIRECTION,True
1985,Chris Menges,CINEMATOGRAPHY,True
1985,Theodor Pistek,COSTUME DESIGN,True
1985,Milos Forman,DIRECTING,True
1985,Robert Epstein and Richard Schmiechen,DOCUMENTARY (Feature),True
1985,Marjorie Hunt and Paul Wagner,DOCUMENTARY (Short Subject),True
1985,Jim Clark,FILM EDITING,True
1985,Switzerland,FOREIGN LANGUAGE FILM,True
1985,Paul LeBlanc,MAKEUP,True
1985,Dick Smith,MAKEUP,True
1985,Maurice Jarre,MUSIC (Original Score),True
1985,Prince,MUSIC (Original Song Score),True
1985,Music and Lyric by Stevie Wonder,MUSIC (Original Song),True
1985,Saul Zaentz,BEST PICTURE,True
1985,Producer,BEST PICTURE,True
1985,Jon Minnis,SHORT FILM (Animated),True
1985,Producer,SHORT FILM (Animated),True
1985,Mike Hoover,SHORT FILM (Live Action),True
1985,Producer,SHORT FILM (Live Action),True
1985,Mark Berger,SOUND,True
1985,Tom Scott,SOUND,True
1985,Todd Boekelheide,SOUND,True
1985,Chris Newman,SOUND,True
1985,Dennis Muren,VISUAL EFFECTS,True
1985,Michael McAlister,VISUAL EFFECTS,True
1985,Lorne Peterson,VISUAL EFFECTS,True
1985,George Gibbs,VISUAL EFFECTS,True
1985,Peter Shaffer,WRITING (Screenplay Based on Material from Another Medium),True
1985,Robert Benton,WRITING (Screenplay Written Directly for the Screen),True
1985,Kay Rose,SPECIAL ACHIEVEMENT AWARD (Sound Effects Editing),True
1985,David L. Wolper,JEAN HERSHOLT HUMANITARIAN AWARD,True
1985,James Stewart,HONORARY AWARD,True
1985,the National Endowment for the Arts,HONORARY AWARD,True
1986,William Hurt,ACTOR IN A LEADING ROLE,True
1986,Don Ameche,ACTOR IN A SUPPORTING ROLE,True
1986,Geraldine Page,ACTRESS IN A LEADING ROLE,True
1986,Anjelica Huston,ACTRESS IN A SUPPORTING ROLE,True
1986,Art Direction:  Stephen Grimes,ART DIRECTION,True
1986,Set Decoration:  Josie MacAvin,ART DIRECTION,True
1986,David Watkin,CINEMATOGRAPHY,True
1986,Emi Wada,COSTUME DESIGN,True
1986,Sydney Pollack,DIRECTING,True
1986,Maria Florio and Victoria Mudd,DOCUMENTARY (Feature),True
1986,Producers,DOCUMENTARY (Feature),True
1986,David Goodman,DOCUMENTARY (Short Subject),True
1986,Thom Noble,FILM EDITING,True
1986,Argentina,FOREIGN LANGUAGE FILM,True
1986,Michael Westmore,MAKEUP,True
1986,Zoltan Elek,MAKEUP,True
1986,John Barry,MUSIC (Original Score),True
1986,Music and Lyric by Lionel Richie,MUSIC (Original Song),True
1986,Sydney Pollack,BEST PICTURE,True
1986,Cilia Van Dijk,SHORT FILM (Animated),True
1986,Producer,SHORT FILM (Animated),True
1986,Jeff Brown and Chris Pelzer,SHORT FILM (Live Action),True
1986,Producers,SHORT FILM (Live Action),True
1986,Chris Jenkins,SOUND,True
1986,Gary Alexander,SOUND,True
1986,Larry Stensvold,SOUND,True
1986,Peter Handford,SOUND,True
1986,Charles L. Campbell,SOUND EFFECTS EDITING,True
1986,Robert Rutledge,SOUND EFFECTS EDITING,True
1986,Ken Ralston,VISUAL EFFECTS,True
1986,Ralph McQuarrie,VISUAL EFFECTS,True
1986,Scott Farrar,VISUAL EFFECTS,True
1986,David Berry,VISUAL EFFECTS,True
1986,Kurt Luedtke,WRITING (Screenplay Based on Material from Another Medium),True
1986,Screenplay by Earl W. Wallace,WRITING (Screenplay Written Directly for the Screen),True
1986,William Kelley,WRITING (Screenplay Written Directly for the Screen),True
1986,Story by William Kelley,WRITING (Screenplay Written Directly for the Screen),True
1986,Pamela Wallace,WRITING (Screenplay Written Directly for the Screen),True
1986,Earl W. Wallace,WRITING (Screenplay Written Directly for the Screen),True
1986,Charles 'Buddy' Rogers,JEAN HERSHOLT HUMANITARIAN AWARD,True
1986,Paul Newman,HONORARY AWARD,True
1986,Alex North,HONORARY AWARD,True
1987,Paul Newman,ACTOR IN A LEADING ROLE,True
1987,Michael Caine,ACTOR IN A SUPPORTING ROLE,True
1987,Marlee Matlin,ACTRESS IN A LEADING ROLE,True
1987,Dianne Wiest,ACTRESS IN A SUPPORTING ROLE,True
1987,Art Direction:  Gianni Quaranta,ART DIRECTION,True
1987,Brian Ackland-Snow,ART DIRECTION,True
1987,Set Decoration:  Brian Savegar,ART DIRECTION,True
1987,Elio Altamura,ART DIRECTION,True
1987,Chris Menges,CINEMATOGRAPHY,True
1987,Jenny Beavan,COSTUME DESIGN,True
1987,John Bright,COSTUME DESIGN,True
1987,Oliver Stone,DIRECTING,True
1987,Brigitte Berman,DOCUMENTARY (Feature),True
1987,Producer,DOCUMENTARY (Feature),True
1987,Joseph Feury and Milton Justice,DOCUMENTARY (Feature),True
1987,Producers,DOCUMENTARY (Feature),True
1987,Vivienne Verdon-Roe,DOCUMENTARY (Short Subject),True
1987,Claire Simpson,FILM EDITING,True
1987,The Netherlands,FOREIGN LANGUAGE FILM,True
1987,Chris Walas,MAKEUP,True
1987,Stephan Dupuis,MAKEUP,True
1987,Herbie Hancock,MUSIC (Original Score),True
1987,Music by Giorgio Moroder,MUSIC (Original Song),True
1987,Lyric by Tom Whitlock,MUSIC (Original Song),True
1987,Arnold Kopelson,BEST PICTURE,True
1987,Linda Van Tulden and Willem Thijssen,SHORT FILM (Animated),True
1987,Producers,SHORT FILM (Animated),True
1987,Chuck Workman,SHORT FILM (Live Action),True
1987,John K. Wilkinson,SOUND,True
1987,Richard Rogers,SOUND,True
1987,Charles 'Bud' Grenzbach,SOUND,True
1987,Simon Kaye,SOUND,True
1987,Don Sharpe,SOUND EFFECTS EDITING,True
1987,Robert Skotak,VISUAL EFFECTS,True
1987,Stan Winston,VISUAL EFFECTS,True
1987,John Richardson,VISUAL EFFECTS,True
1987,Suzanne Benson,VISUAL EFFECTS,True
1987,Ruth Prawer Jhabvala,WRITING (Screenplay Based on Material from Another Medium),True
1987,Woody Allen,WRITING (Screenplay Written Directly for the Screen),True
1987,Ralph Bellamy for his unique artistry and his distinguished service to the profession of acting.,HONORARY AWARD,True
1987,Steven Spielberg,IRVING G. THALBERG MEMORIAL AWARD,True
1988,Michael Douglas,ACTOR IN A LEADING ROLE,True
1988,Sean Connery,ACTOR IN A SUPPORTING ROLE,True
1988,Cher,ACTRESS IN A LEADING ROLE,True
1988,Olympia Dukakis,ACTRESS IN A SUPPORTING ROLE,True
1988,Art Direction:  Ferdinando Scarfiotti,ART DIRECTION,True
1988,Set Decoration:  Bruno Cesari,ART DIRECTION,True
1988,Osvaldo Desideri,ART DIRECTION,True
1988,Vittorio Storaro,CINEMATOGRAPHY,True
1988,James Acheson,COSTUME DESIGN,True
1988,Bernardo Bertolucci,DIRECTING,True
1988,Aviva Slesin,DOCUMENTARY (Feature),True
1988,Sue Marx and Pamela Conn,DOCUMENTARY (Short Subject),True
1988,Gabriella Cristiani,FILM EDITING,True
1988,Denmark,FOREIGN LANGUAGE FILM,True
1988,Rick Baker,MAKEUP,True
1988,Ryuichi Sakamoto,MUSIC (Original Score),True
1988,David Byrne,MUSIC (Original Score),True
1988,Cong Su,MUSIC (Original Score),True
1988,Music by Franke Previte,MUSIC (Original Song),True
1988,John DeNicola and Donald Markowitz,MUSIC (Original Song),True
1988,Lyric by Franke Previte,MUSIC (Original Song),True
1988,Jeremy Thomas,BEST PICTURE,True
1988,Frédéric Back,SHORT FILM (Animated),True
1988,Jonathan Sanger and Jana Sue Memel,SHORT FILM (Live Action),True
1988,Producers,SHORT FILM (Live Action),True
1988,Bill Rowe,SOUND,True
1988,Ivan Sharrock,SOUND,True
1988,Dennis Muren,VISUAL EFFECTS,True
1988,William George,VISUAL EFFECTS,True
1988,Harley Jessup,VISUAL EFFECTS,True
1988,Kenneth Smith,VISUAL EFFECTS,True
1988,Mark Peploe,WRITING (Screenplay Based on Material from Another Medium),True
1988,Bernardo Bertolucci,WRITING (Screenplay Based on Material from Another Medium),True
1988,John Patrick Shanley,WRITING (Screenplay Written Directly for the Screen),True
