movie_name,budget,revenue
Die Hard: With a Vengeance,28000000,
Falling Down,,
RoboCop,13000000,
Lethal Weapon,,
Mad Max 2,,
Rupan sansei: Kariosutoro no shiro,175000000,
Escape from Alcatraz,,
The Taking of Pelham One Two Three,,
Enter the Dragon,850000,
Where Eagles Dare,7700000,
Tanhaji: The Unsung Warrior,,
Upgrade,175000000,
Mersal,,
Fury,150000000,
The Hunger Games: Catching Fire,,
Delhi Belly,,
Waar,,
Hodejegerne,,
Jûsan-nin no shikaku,,
Yip Man 2,,
L'instinct de mort,,
Doctor Strange,,
Retfærdighedens ryttere,,
Lone Survivor,,
Source Code,32000000,
Grindhouse,67000000,
Dalkomhan insaeng,,
Jodhaa Akbar,,
Scott Pilgrim vs. the World,,
Munich,,
Shi mian mai fu,,
Harry Potter and the Order of the Phoenix,,
Collateral,65000000,
Zatôichi,,
Jui kuen II,,
The Crow,23000000,
Total Recall,,
The Hunt for Red October,,
Batman,,
Midnight Run,,
Ging chaat goo si,,
Indiana Jones and the Temple of Doom,,
The Warriors,,
Tora! Tora! Tora!,25000000,
It's a Mad Mad Mad Mad World,,
The Guns of Navarone,6000000,
Shang-Chi and the Legend of the Ten Rings,150000000,
Nobody,,
Spider-Man: Far from Home,,
John Wick: Chapter 3 - Parabellum,,
John Wick: Chapter 2,40000000,
The Last Duel,,
War for the Planet of the Apes,,
John Wick,,
Predestination,,
How to Train Your Dragon: The Hidden World,165000000,
Mission: Impossible - Rogue Nation,,
Spider-Man: Homecoming,,
Rurôni Kenshin: Meiji kenkaku roman tan,,
Ready Player One,,
Sherlock Holmes: A Game of Shadows,,
Samâ uôzu,,
Looper,30000000,
Mission: Impossible - Ghost Protocol,,
Law Abiding Citizen,,
Black Dynamite,,
Wonder Woman,,
L'ennemi public n°1,,
A History of Violence,32000000,
Spider-Man 2,,
Open Range,,
Master and Commander: The Far Side of the World,,
X2,,
Spider-Man,90000000,
The Rock,,
Thief,,
Zui quan,,
Superman,,
Get Carter,,
Bullitt,4000000,
From Russia with Love,,
El Camino: A Breaking Bad Movie,,
DC League of Super-Pets,175000000,
Tenet,,
Raya and the Last Dragon,,
Patriots Day,,
13 Hours,,
The Lego Batman Movie,,
Okja,,
The Nice Guys,50000000,
Avengers: Age of Ultron,250000000,
No Time to Die,,
American Sniper,,
The Accountant,,
Eye in the Sky,,
Black Panther,,
Southpaw,,
Fast Five,125000000,
The Next Three Days,,
Bullet Train,,
Ghajini,,
Master,,
Invictus,,
Max Manus,,
Megamind,,
The Adventures of Tintin,,
Der Baader Meinhof Komplex,,
Ant-Man,,
Alita: Battle Angel,170000000,
Chi bi,,
Running Scared,,
Pirates of the Caribbean: Dead Man's Chest,,
Layer Cake,,
Dawn of the Dead,650000,
Siu Lam juk kau,,
Equilibrium,,
X-Men,,
The Negotiator,,
Enemy of the State,,
Starship Troopers,,
Men in Black,,
Grosse Pointe Blank,,
Face/Off,,
Crimson Tide,,
True Lies,115000000,
Speed,30000000,
Nikita,,
Star Trek IV: The Voyage Home,,
To Live and Die in L.A.,,
The Karate Kid,,
Beverly Hills Cop,14000000,
Assault on Precinct 13,100000,
The Getaway,,
Jason and the Argonauts,,
The Suicide Squad,185000000,
Anthropoid,,
The Siege of Jadotville,,
Bajirao Mastani,,
La isla mínima,,
'71,,
Holiday,,
Unbroken,,
The Man from U.N.C.L.E.,,
Kon-Tiki,,
War Horse,66000000,
Rise of the Guardians,145000000,
The Hunger Games,,
Kung Fu Panda 2,,
Harry Brown,,
Old Henry,,
21 Jump Street,,
VR (Vikrant Rona),,
Rango,,
Prey,,
The Witcher: Nightmare of the Wolf,,
RocknRolla,18000000,
Joheunnom nabbeunnom isanghannom,,
I Am Legend,,
The Equalizer,,
Mongol,,
Friday Night Lights,,
Fainaru fantajî sebun adobento chirudoren,,
Team America: World Police,,
The Life Aquatic with Steve Zissou,50000000,
King Kong,207000000,
Kingdom of Heaven,,
The Matrix Reloaded,63000000,
The Patriot,,
Arlington Road,,
Ronin,,
From Dusk Till Dawn,,
GoldenEye,,
Natural Born Killers,34000000,
In the Line of Fire,40000000,
Star Trek VI: The Undiscovered Country,,
Point Break,24000000,
Lethal Weapon 2,,
Willow,,
They Live,3000000,
The Transformers: The Movie,,
The Hitcher,,
Big Trouble in Little China,25000000,
Silverado,,
Runaway Train,,
Magnum Force,,
Meng long guo jiang,,
Jing wu men,,
Vanishing Point,1580000,
The Italian Job,,
Django,100000000,
Dr. No,,
Mosul,,
Black Adam,,
Free Guy,120000000,
Brawl in Cell Block 99,,
Kaabil,,
Allied,,
American Made,,
Fast & Furious 7,,
Everest,,
Kraftidioten,,
Gabbar Is Back,,
Kung Fu Panda 3,,
Dragon Ball Z: Doragon bôru Z - Kami to Kami,,
God Bless America,,
Batman v Superman: Dawn of Justice (Ultimate Edition),,
Deepwater Horizon,,
Snowpiercer,39200000,
Dredd,50000000,
Enthiran,,
Iron Man Three,,
Flickan som lekte med elden,,
Micmacs à tire-larigot,,
JCVD,,
The Northman,,
Wrath of Man,,
Planet Terror,,
Defiance,,
Shooter,,
Man of Steel,,
Rocky Balboa,1000000,
Don,11000000,
Deja Vu,,
Pirates of the Caribbean: At World's End,300000000,
Fanaa,,
Flags of Our Fathers,,
Banlieue 13,,
Ong-bak,,
"I, Robot",120000000,
Live Free or Die Hard,28000000,
We Were Soldiers,,
Pitch Black,23000000,
Payback,,
The Mummy,,
Blade,28000000,
Three Kings,,
Mission: Impossible,,
Desperado,,
Batman Returns,,
Die Hard 2,28000000,
Casualties of War,,
No Way Out,,
Highlander,,
WarGames,,
Escape from New York,,
The Poseidon Adventure,,
Doctor Strange in the Multiverse of Madness,,
Kabir Singh,,
Greyhound,,
Logan Lucky,,
Ant-Man and the Wasp,,
Sicario: Day of the Soldado,,
Sultan,,
Spy,,
A Most Violent Year,,
Yip Man 3,,
Star Trek Beyond,,
22 Jump Street,,
Yip Man 4,,
Furious 6,,
Chronicle,,
Super 8,175000000,
Yip Man chin chyun,,
The Foreigner,,
Oblivion,,
Filth,,
Don 2,,
Den of Thieves,,
RED,25000000,
Bronson,,
Public Enemies,,
The Unbearable Weight of Massive Talent,,
Cloverfield,25000000,
Death Proof,,
Tropic Thunder,92000000,
Tau ming chong,,
Son of Rambow,,
World War Z,,
Thor,180000000,
Jack Reacher,,
Body of Lies,,
Man cheng jin dai huang jin jia,,
9,,
Rambo,,
Shazam!,,
Real Steel,,
The Kingdom,,
Tom yum goong,,
Transformers,,
Hellboy II: The Golden Army,,
Constantine,,
Main Hoon Na,,
Unleashed,,
Underworld,,
The Italian Job,,
Koroshiya 1,,
Spy Game,,
Le pacte des loups,175000000,
Taxi,1900000,
Rush Hour,,
Fallen,,
Independence Day,,
Stargate,,
Maverick,,
Dragon: The Bruce Lee Story,,
Juice,,
The Last Boy Scout,,
The Spy Who Loved Me,,
The Towering Inferno,14000000,
